tg,gi_obs,gi_temp,gi_temp_var
16.563,1.7817374977078628,1.094,0.054221
16.663,1.7831857071009252,1.0963,0.054286
16.763,1.7846233919294066,1.0985,0.05432
16.863,1.7859906431333834,1.1007,0.054322
16.963,1.7873578943373603,1.1027,0.054292
17.063,1.7886761507795306,1.1047,0.05423
17.163,1.7899656325203224,1.1066,0.054136
17.263,1.7912454421890474,1.1084,0.054011
17.363,1.7924605233754798,1.1102,0.053855
17.463,1.7936756045619122,1.1119,0.053669
17.563,1.7948460491499751,1.1135,0.053453
17.663,1.7959902785929642,1.115,0.053209
17.763,1.797125782005489,1.1165,0.052937
17.863,1.7982028881372125,1.1179,0.052638
17.963,1.7992799942689361,1.1192,0.052315
18.063,1.8003172746113063,1.1205,0.051968
18.163,1.8013311652043735,1.1217,0.051598
18.263,1.8023373690656042,1.1228,0.051207
18.363,1.8032921309522334,1.1239,0.050797
18.463,1.8042468928388626,1.1249,0.050369
18.563,1.8051670909753599,1.1258,0.049924
18.663,1.8060669897665416,1.1267,0.049464
18.763,1.806960334089477,1.1276,0.048991
18.863,1.8078098138941505,1.1284,0.048507
18.963,1.8086592936988237,1.1291,0.048013
19.063,1.8094799216074136,1.1298,0.04751
19.163,1.8102836047516369,1.1304,0.047
19.263,1.8110819583641067,1.131,0.046485
19.363,1.8118446451102257,1.1315,0.045967
19.463,1.812607331856345,1.132,0.045446
19.563,1.8133473269598772,1.1325,0.044925
19.663,1.8140739952257,1.1329,0.044405
19.763,1.8147966512771012,1.1332,0.043887
19.863,1.8154924563550678,1.1335,0.043373
19.963,1.8161882614330342,1.1338,0.042864
