tr,ri_obs,ri_temp,ri_temp_var
16.364,0.5435947702294044,0.21338,0.017182
16.464,0.5440088572128702,0.2139,0.017092
16.564,0.5444051481066768,0.2144,0.017004
16.664,0.5447914287000505,0.2149,0.016916
16.764,0.5451738539689093,0.21538,0.01683
16.864,0.545532596530035,0.21586,0.016745
16.964,0.5458913390911608,0.21632,0.016661
17.064,0.5462326239325499,0.21677,0.016578
17.164,0.546564088806587,0.21721,0.016497
17.264,0.546891769919172,0.21764,0.016417
17.364,0.547196207925694,0.21806,0.016339
17.464,0.5475006459322159,0.21847,0.016261
17.564,0.5477879402034295,0.21887,0.016186
17.664,0.5480655911235323,0.21926,0.016112
17.764,0.5483395236636964,0.21964,0.016039
17.864,0.5485906147270958,0.22001,0.015969
17.964,0.5488417057904953,0.22037,0.015899
18.064,0.5490759349714842,0.22072,0.015832
18.164,0.5493006793436173,0.22106,0.015766
18.264,0.54952176284133,0.2214,0.015702
18.364,0.5497203581104614,0.22172,0.01564
18.464,0.5499189533795928,0.22203,0.015579
18.564,0.5501009287416446,0.22234,0.015521
18.664,0.5502735554059642,0.22263,0.015464
18.764,0.550442569130941,0.22292,0.015409
18.864,0.5505893890856693,0.2232,0.015356
18.964,0.5507362090403977,0.22347,0.015305
19.064,0.5508666034397709,0.22374,0.015255
19.164,0.550987758464257,0.22399,0.015208
19.264,0.551105337219591,0.22424,0.015162
19.364,0.5512009474644195,0.22448,0.015119
19.464,0.551296557709248,0.22471,0.015077
19.564,0.5513758813808042,0.22493,0.015037
19.664,0.5514460438548947,0.22515,0.014999
19.764,0.5515126537706915,0.22535,0.014963
19.864,0.5515574408283977,0.22555,0.014929
19.964,0.5516022278861039,0.22575,0.014897
